ULL_name, ULL_MAST_name,SIMBAD_name, alias0, alias1, alias2, alias3, alias4, alias5,alias6,alias7,alias8,alias9
RW AUR, V-RW-AUR,RW Aur,V* RW Aur A, HD240764,NAME-RW-AUR-A, RW-AUR, 2MASS J05074953+3024050, BD+30 792,RW-AUR-A,V-RW-AUR-A,,
UX TAU A, V-UX-TAU-A,V* UX Tau A, NAME-UX-TAU-A, BD+17 736A, HD 285846A, 2MASS J04300399+1813493, SSTc2d J043004.0+181349, GAIA-DR2-3314508622616073472,,,,
V1001 SCO, V-V1001-SCO,V1001 SCO, Wa Oph 2, NAME-V-V1001-SCO-A, RX J1612.0-1906, 2MASS J16115927-1906532, GAIA-DR2-6245812948756034816,,,,,
HD 294260, HD-294260,HD 294260, P2441, CHN 18, BD-04 1191, HBC 484, KISO A-0976 283,,,,,
P MUS, V-MP-MUS,MP MUS, PDS-66, CPD-68 1894, 2MASS J13220753-6938121, GAIA-DR2-5844296281847839232,PDS 66,,,,,
[PGZ2001] J161031.9-191305,pgz2001-j161031m191305,[PGZ2001] J161031.9-191305, 2MASS J16103196-1913062, GAIA-DR2-6245761404851201408, PGZ2001-J161031-191305,[PGZ2001] J161031.9-191305, PGZ2001-J161031.9-191305,,,,,
[PZ99] J161019.1-250230,pz99-j161019m250230,[PZ99] J161019.1-250230, 2MASS J16101918-2502301, GAIA-DR2-6049748791208799488,PZ99 J161019-250230, PZ99-J161019-250230,[PZ99] J161019.1-250230, PZ99-J161019.1-250230,,,,
RR TAU, V-RR-TAU,RR TAU, RRTAU, BD+26 887a, EM AS 103, HBC 170, 2MASS J05393051+2622269, GAIA-DR2-3441021939498830976,,,,
RY TAU, V-RY-TAU,RY TAU, RY-TAU, RYTAU, HD 283571, BD+28 645, 2MASS J04215740+2826355, GAIA-DR2-164551162164119424,,,,
HD 135344B, HD-135344B,HD 135344B, CPD-36 6759, CD-36 10010B, SAO-206462, 2MASS J15154844-3709160, GAIA-DR2-6199395656645838976,,,,,
2MASS J04390163+2336029,2mass-j04390163p2336029,2MASS J04390163+2336029, GAIA-DR2-146764809236423808, SCHJ0439016+2336030, 2MASS-J04390163+2336029,,,,,,,
V1146 SCO, V-V1146-SCO,V1146 SCO, RX J155720.1-233847, 2MASS J15571998-2338499, ScoPMS 15, GAIA-DR2-6237039975541812992, SCOPMS15,,,,,
V1154 SCO, V-V1154-SCO,V1154 SCO, SCOPMS23, RX J160210.1-224128, 2MASS J16021045-2241280, SCOPMS 23, GAIA-DR2-6243172643388011008,,,,,
V1157 SCO, V-V1157-SCO,V1157 SCO, SCOPMS 45, SCOPMS45, 2MASS J16112057-1820549, GAIA-DR2-6248926520870519680,,,,,,
Sz 102, SZ-102,Sz 102 , SZ102, Sz 102,V-V1190-SCO, HBC 617, 2MASS J16082972-3903110, GAIA-DR2-5997083008890845184,THA15-28,,,
T CHA, V-T-CHA,T CHA, T-CHA, RX J1157.2-7921, SSTc2d J115713.5-792131, FLG2003 eps Cha 26, 2MASS J11571348-7921313, GAIA-DR2-5199981334075581696,,,,
T ORI, V-T-ORI,T ORI, TORI, BD-05 1329, EM MWC 763, HBC 154, 2MASS J05355043-0528349, GAIA-DR2-3017347673735214592,,,,
TWA 2, TWA-2,TWA 2, CD-29 8887, RX J110912-30011, 2MASS J11091380-3001398, GAIA-DR2-5452498537466667776,,,,,,
TWA 3A, TWA-3A,TWA 3A, GAIA-DR2-5396978667759696000,,,,,,,,,
CE ANT, V-CE-ANT,CE ANT, TWA 7, TWA-7, RX J104230.3-334014, 2MASS J10423011-3340162, GAIA-DR2-5444751795151480320,,,,,
UZ TAU E, V-UZ-TAU-E,V* UZ Tau E, V UZ TAU A, UZ-TAU-E, 2MASS J04324303+2552311, GAIA-DR2-151045650384137600,,,,,,
AA TAU, V-AA-TAU,AA TAU, 2MASS J04345542+2428531, GAIA-DR2-147818450613367424,HBC 63,,,,,,,
AK SCO, V-AK-SCO,AK SCO, HD 152404, CD-36 11056, CPD-36 7072, 2MASS J16544485-3653185, GAIA-DR2-5971474902099064576,,,,,
BP TAU, V-BP-TAU,BP TAU, V BP TAU, HD 281934, 2MASS J04191583+2906269, GAIA-DR2-164832740220756608,,,,,,
CS CHA, V-CS-CHA,CS CHA, V CS CHA, CHX 4, SSTc2d J110225.0-773336, 2MASS J11022491-7733357, GAIA-DR2-5201179389431267584,Sz 9,,,,
CW TAU, V-CW-TAU,CW TAU, V CW TAU, 2MASS J04141700+2810578, GAIA-DR2-163184091252903936,CW-TAU,,,,,,
DE TAU, V-DE-TAU,DE TAU, V DE TAU, 2MASS J04215563+2755060, GAIA-DR2-152511475478780416,,,,,,,
DK TAU, V-DK-TAU,DK TAU, V DK TAU, 2MASS J04304425+2601244,DK Tau A,,,,,,,
DN TAU, V-DN-TAU,DN TAU, V DN TAU, 2MASS J04352737+2414589, GAIA-DR2-147606657186323712,HBC 65,,,,,,
FM TAU, V-FM-TAU,FM TAU, V FM TAU, 2MASS J04141358+2812492, GAIA-DR2-163184366130809472,HBC 23,,,,,,
HN TAU,V-HN-TAU,HN TAU, V HN TAU, 2MASS J04333935+1751523, GAIA-DR2-3314237734735803392,HN Tau A,HN-TAU,,,,,
IP TAU,V-IP-TAU,IP TAU, EM LkCa 8, EM-LKCA-8, RX J0424.9+2711, 2MASS J04245708+2711565, GAIA-DR2-152226491513195648,HBC 385,,,,
SZ CHA,V-SZ-CHA,SZ CHA, CHX 2, 2MASS J10581677-7717170, GAIA-DR2-5201199348142249216,,,,,,,
T CRA,V-T-CRA,T CRA, 2MASS J19015878-3657498, GAIA-DR2-6731196273845607168,,,,,,,,
V1152 SCO, V-V1152-SCO,V1152 SCO, CD-22 11298, ScoPMS 21, RX J160126.1-224047, 2MASS J16012563-2240403,,,,,,
V1156 SCO,V-V1156-SCO,V1156 SCO, ScoPMS 27, RX J1604.7-1930, 2MASS J16044776-1930230, GAIA-DR2-6247231181322707328,,,,,,
V2505 OPH,V-V2505-OPH,V2505 OPH, BD-21 4369, ScoPMS 214, SSTc2d J162948.7-215212, GAIA-DR2-6052280004416392320,,,,,,
V1044 ORI,V-V1044-ORI,V1044 ORI, RX J053417.6-053643, 2MASS J05341646-0536455, GAIA-DR2-3017260709226477056, V1044-ORI,,,,,,
V1070 TAU,V-V1070-TAU,V1070 TAU, V1070TAU, EM LKCA 7, SSTc2d J041941.3+274948, 2MASS J04194127+2749484, GAIA-DR2-164422961683000320,,,,,
V1098 TAU,V-V1098-TAU,V1098 TAU, V1098TAU, EM LKCA 3, SSTc2d J041448.0+275235, 2MASS J04144797+2752346, GAIA-DR2-163157325014927360,,,,,
V2129 OPH, V-V2129-OPH,V2129 OPH, V2129-OPH, EM SR 9, CD-24 12689, SSTc2d J162740.3-242204,GAIA DR3 6049153921054413440,,,,,
V4046 SGR,V-V4046-SGR,V4046 SGR, V4046SGR, HD 319139, CD-32 13906, EM AS 292, 2MASS J18141047-3247344, GAIA DR2 4045698423617983488,,,,
V410 TAU,V-V410-TAU,V410 TAU, V410-TAU, HD 283518, BD+28 637, 2MASS J04183110+2827162,GAIA DR3 164518589131083136,,,,,
V819 TAU,V-V819-TAU,V819 TAU, V819-TAU, WK81 1, 2MASS J04192625+2826142, GAIA DR3 164504467278644096,,,,,,
V826 TAU,V-V826-TAU,V826 TAU, V826TAU, RX J043215.8+180139, 2MASS J04321583+1801387, GAIA DR3 3314258999116827776,,,,,,
V827 TAU,V-V827-TAU,V827 TAU, V827TAU, 2MASS J04321456+1820147, GAIA DR3 3314338163954491136,,,,,,,
V830 TAU,V-V830-TAU,V830 TAU, V830TAU, SSTc2d J043310.0+243343, 2MASS J04331003+2433433, GAIA DR3 147831571737487488,,,,,,
V836 TAU,V-V836-TAU,V836 TAU, V836-TAU, SSTc2d J050306.6+252320, 2MASS J05030659+2523197, GAIA DR3 3420008412568724736,,,,,,
V SER,V-V-SER,V SER, VVSER, HD 167655, BD-15 4905, 2MASS J18164912-1531070,,,,,,
V1000 SCO,V-V1000-SCO,V1000 SCO, WA OPH 1, WA-OPH-1, ScoPMS 44, SSTc2d J161108.9-190447, GAIA DR3 6245770063505264256,,,,,
XY PER,V-XY-PER,XY PER, XYPER, HD 275877, AG+38 424, BD+38 811, 2MASS J03493638+3858556, GAIA DR3 223935338503901952,,,,
XX Cha,V-XX-CHA,XX Cha,2MASS J11113965-7620152,XX Cha,T49,,,,,,,
SSTc2d J161344.1-373646,sstc2d-j161344m373646,SSTc2d J161344.1-373646,SSTC2DJ161344-373646,SSTC2DJ161344.1-373646,SSTc2dJ161344.1-373646,sstc2dj161344m373646,,,,,,
ECHA J0844.2-7833,echa-j0844m7833,ECHA J0844.2-7833,ECHA-J0844-7833,ECHA-J0844.2-7833,ECHA-J0844.2-7833,,,,,,,
SSTc2d J160000.6-422158,sstc2d-j160000m422158,SSTc2dJ160000.6-422158,SSTC2DJ160000-422158,SSTC2DJ160000.6-422158,SSTc2dJ160000.6-422158,sstc2dj160000m422158,,,,,,
RX J0438.6+15462,rx-j0438p1546,RX J0438.6+15462,2MASSJ04383907+1546137,HD285957,rxj0438+1546,RXJ0438.6+1546,RXJ0438.6+15462,rxj0438p1546,,,,
GAIA-DR3-5200232636905785728,GAIA-DR3-5200232636905785728,GAIA DR3 5200232636905785728,GAIA EDR3 5200232636905785728,,,,,,,,,
NGC3109,NGC3109,NGC3109,NGC3109-01,NGC3109-02,,,,,,,,
N206-FS 170,N206-FS-170,[RHH2018] 170,N206-FS 170,[N206-FS] 170,[N206-FS]_170,[RHH2018] 170,[N206-FS]-170,,,,,
2MASS J04383885+1546045,2mass-j04383885p1546045,2MASS J04383885+1546045,GAIA DR2 3309970392669539584,GAIA DR3 3309970392669539584,2MASSJ04383885+1546045,2MASSJ04383885+1546045,2massj04383885p1546045,,,,,
N11 ELS 033,N11-ELS-033,[ELS2006] N11 033,N11 ELS 33,N11 33,LH9-89,LH 9-89,[L72] LH 9-89,PGMW 1005,GAIA DR3 4662154018793644928,,,
N11 ELS 018,N11-ELS-018,[ELS2006] N11 018,N11 ELS 18,N11 ELS 018,N11-ELS-18,PGMW 3053,GAIA DR3 4662155942939207808,N11 018,,,,
N11 ELS 038,N11-ELS-038,[ELS2006] N11 038,N11 ELS 38,N11 038,N11-ELS-38,PGMW 3100,GAIA DR3 4662155835530951424,,,,,
N11 ELS 060,N11-ELS-060,[ELS2006] N11 060,N11 ELS 60,N11 ELS 060,N11-ELS-60,PGMW 3058,GAIA DR3 4662155839859943680,N11 060,,,,
NGC 3109 EBU 07,NGC-3109-EBU-07,[EBU2007] 7,NGC3109 EBU 07,NGC3109-EBU-07,NGC 3109 EBU 07,,,,,,,
NGC 3109 EBU 20,NGC-3109-EBU-20,[EBU2007] 20,NGC3109 EBU 20,NGC3109-EBU-20,NGC 3109 EBU 20,,,,,,,
NGC 3109 EBU 34,NGC-3109-EBU-34,[EBU2007] 34,NGC3109 EBU 34,NGC3109-EBU-34,NGC 3109 EBU 34,,,,,,,
Sextans A LGN s004,Sextans-A-LGN-s004,[VPW98] 1805,SEXTANS-A GHN S4,SEXTANS A GHN S4,LGN-s004,LGGS J101057.89-044310.2,SEXTANS-A-GHN-S4,,,,,
Sextans A LGN s003,Sextans-A-LGN-s003,[VPW98] 1670,SEXTANS-A GHN S2,SEXTANS A GHN S2,Gaia DR3 3779987321206922624,LGN-s003,LGGS J101058.59-044328.9,SEXTANS-A-GHN-S2,,,,
Sextans A LGN s071,Sextans-A-LGN-s071,[VPW98] 412,SEXTANS-A GHN S8,SEXTANS A GHN S8,Gaia DR3 3779987733523729280,LGN-s071,LGGS J101105.69-044213.6,SEXTANS-A-GHN-S8,,,,
sstc2d j161243.8-381503,sstc2d-j161243m381503,sstc2d j161243.8-381503,sstc2dj161243-381503,sstc2dj161243m381503,sstc2dj161243.8-381503,sstc2dj161243.8-381503,sstc2dj161243m381503,,,,,
PGMW 1363,PGMW-1363,PGMW 1363,LH 9-34,LH9-34,L72 LH 9-34,BI-184,[PGMW]-1363,[PGMW]_1363,,,,
N11 ELS 051,N11-ELS-051,[ELS2006] N11 051,GAIA DR3 4662156630134021376,N11 ELS 51,N11 051,,,,,,,
N11 ELS 031,N11-ELS-031,[ELS2006] N11 031,[L72] LH 10-3061,PGMW 3061,GAIA DR3 4662155839859944064,N11 031,N11 ELS 31,LH 10-3061,LH10-3061,,,
N11 ELS 026,N11-ELS-026,[ELS2006] N11 026,GAIA DR3 4662179994748782464,N11 ELS 26,N11 026,,,,,,,
N11 ELS 032,N11-ELS-032,[ELS2006] N11 032,PGMW 3168,GAIA DR3 4662153022361455872,N11 ELS 32,N11 032,,,,,,
N11 ELS 048,N11-ELS-048,[ELS2006] N11 048,PGMW 3204,N11 ELS 48,N11 048,,,,,,,
N11 ELS 049,N11-ELS-049,[ELS2006] N11 049,PGMW 1110,[L72] LH 9-73,GAIA DR3 4662154156232605824,OGLE LMC533.28.013470,N11 ELS 49,LH 9-73,N11 049,,,
N11 ELS 046,N11-ELS-046,[ELS2006] N11 046,GAIA DR3 4662144501145651328,N11 ELS 46,N11 046,,,,,,,
RX J1556.1-3655,rx-j1556m3655,RX J1556.1-3655,RXJ1556.1-3655,RXJ1556.1-3655,rxj1556m3655,RX J1556-3655,,,,,,
RX J1852.3-3700,rx-j1852m3700,RX J1852.3-3700,RXJ1852.3-3700,RXJ1852.3-3700,rxj1852m3700,RX J1852-3700,,,,,,
RX J1842.9-3532,rx-j1842m3532,RX J1842.9-3532,RXJ1842.9-3532,RXJ1842.9-3532,rxj1842m3532,RX J1842-3532,,,,,,
Sextans A LGN s037,Sextans-A-LGN-s037,LGGS J101104.78-044224.1,Sextans-A-OB623,SA1,LGN-s037,,,,,,,
Sextans A LGN s029,Sextans-A-LGN-s029,[VPW98] 1744,s3,SEXTANS-A,LGGS J101058.19-044318.4,LGN-s029,,,,,,
Sextans A LGN s022,Sextans-A-LGN-s022,[VPW98] 451,Sextans-A-OB521,LGGS J101105.38-044240.1,STAR-J101105.38-044240.1,LGN-s022,,,,,,
Sextans A LGN s038 ,Sextans-A-LGN-s038,LGGS J101106.05-044211.4,Sextans-A-OB523,STAR-J101106.05-044211.4,LGN-s038,,,,,,,
Sextans A LGN s050,Sextans-A-LGN-s050,LGGS J101100.66-044044.3,Sextans-A-OB321,STAR-J101100.66-044044.3,LGN-s050,,,,,,,
Sextans A LGN s014,Sextans-A-LGN-s014,LGGS J101053.81-044113.0,Sextans-A-OB326,STAR-J101053.81-044113.0,LGN-s014,,,,,,,
Sextans A LGN s089,Sextans-A-LGN-s089,LGGS J101102.38-044014.6,Sextans-A-OB622,STAR-J101102.38-044014.6,LGN-s089,,,,,,,
IC1613 BUG B11,IC1613-BUG-B11,[BUG2007] B 11,IC1613-B11,[GHV2009] Star 34964,GAIA DR3 2539071450058445312,BUG2007-B11,,,,,,
IC1613 BUG A13,IC1613-BUG-A13,[BUG2007] A 13,IC1613-A13,[GHV2009] Star 69217,GAIA DR3 2539073649080572800,IC1613-010506-021043,BUG2007-A13,,,,,
IC1613 BUG B3 ,IC1613-BUG-B3,[BUG2007] B 3,IC1613-B3,[GHV2009] Star 69336,GAIA DR2 2539061799266686336,[SK76] B 42,IC1613-010506-020931,BUG2007-B3,,,,
IC1613 GHV 64066,IC1613-GHV-Star-64066,[GHV2009] Star 64066,IC1613-64066,GHV2009-Star-64066,,,,,,,,
IC1613 BUG B2,IC1613-BUG-B2,[BUG2007] B 2,IC1613-B2,[GHV2009] Star 65426,GAIA DR3 2539073614721142656,IC1613-010503-021004,BUG2007-B2,,,,,
IC1613 GHV 62024,IC1613-GHV-Star-62024,[GHV2009] Star 62024,IC1613-62024,IC1613-010501-020849,GHV2009-Star-62024,,,,,,,
IC1613 GHV 67684 ,IC1613-GHV-Star-67684,[GHV2009] Star 67684,IC1613-67684,GHV2009-Star-67684,,,,,,,,
IC1613 GHV 61331,IC1613-GHV-Star-61331,[GHV2009] Star 61331,IC1613-61331,GHV2009-Star-61331,,,,,,,,
IC1613 GHV 67559,IC1613-GHV-Star-67559,[GHV2009] Star 67559,IC1613-67559,IC1613-010505-020923,GHV2009-Star-67559,,,,,,,
IC1613 BUG B7,IC1613-BUG-B7,[BUG2007] B 7,[GHV2009] Star 63932,GAIA DR3 2539060283142934656,IC1613-010502-020805,BUG2007-B7,,,,,,
IC1613 BUG A10 ,IC1613-BUG-A10,[BUG2007] A 10,[GHV2009] Star 62390,[SK76] A22,GAIA DR3 2539073687736158848,IC1613-010501-021041,BUG2007-A10,,,,,
IC1613 BUG B4,IC1613-BUG-B4,[BUG2007] B 4,[GHV2009] Star 60449,[SK76] A42,GAIA DR3 2539072107187468672,IC1613-010460-020916,BUG2007-B4,,,,,
IC1613 BUG C10,IC1613-BUG-C10,[BUG2007] C 10,IC1613-C10,GAIA DR3 2539073064965819264,BUG2007-C10,,,,,,,
WLM BPU A11,WLM-BPU-A11,[BPU2006] A 11,WLM-A11,LGGS J000159.95-152819.0,[SC85b] 30,GAIA DR3 2415883472953242880,WLM BPU A 11,BPU2006-A11,,,,
WLM BPU A15,WLM-BPU-A15,[BPU2006] A 15,WLM  ,LGGS J000200.52-152951.8,[SC85b] 14,WLM BPU A 15,BPU2006-A15,,,,,
Leo-P ECG LP26,LEO-P-ECG-LP26,[ECG2019] LP 26,LEO-P,[MSB2013] 2,Leo P ECG LP 26,ECG2019-LP26,Leo-P ECG LP 26,,,,,
Sextans A LGGS J101056.86-044040.8,Sextans-A-LGGS-J101056m044040,LGGS J101056.86-044040.8,SA2,Gaia DR3 3779988764316004480,Gaia-DR3-3779988764316004480,,,,,,,
Sextans A LGN s021,Sextans-A-LGN-s021,LGGS J101104.79-044220.9,SA3,Gaia DR3 3779987733523729408,LGN-s021,,,,,,,
NGC346 ELS 013,NGC346-ELS-013,Cl* NGC 346 ELS 013,Cl* NGC 346 MPG 782,[M2002] SMC 46456,NGC346 13,NGC346 ELS 13,NGC346-ELS-13,,,,,
NGC346 ELS 035,NGC346-ELS-035,Cl* NGC 346 ELS 035,NGC346 35,2dFS 1418,[M2002] SMC 47161,NGC346 ELS 35,NGC346-ELS-35,,,,,
NGC346 ELS 025,NGC346-ELS-025,Cl* NGC 346 ELS 025,NGC346 25,Cl* NGC 346 MPG 848,[M2002] SMC 47430,NGC346 ELS 25,NGC346-ELS-25,,,,,
NGC2004 ELS 003,NGC2004-ELS-003,Cl* NGC 2004 ELS 3,NGC2004 3,RMC 109,cl* NGC 2004 ROB C1,W61 18-8,NGC2004 ELS 3,NGC2004-ELS-3,,,,
TX Ori,V-TX-ORI,V* TX Ori,HBC 172,2MASS J05383368-0244141,,,,,,,,
SY Cha,V-SY-CHA,SY Cha,Sz3,HBC 565,CHX 1,2MASS J10563044-7711393,,,,,,
VZ Cha,V-VZ-CHA,VZ Cha,HBC 578,Sz31,2MASS J11092379-7623207,,,,,,,
WZ Cha,V-WZ-CHA,WZ Cha,HBC 585,2MASS J11105333-7634319,Sz38,,,,,,,
IN Cha,V-IN-Cha,IN Cha,HBC 587,Sz40,2MASS J11120984-7634366,,,,,,,
HD 104237E,HD-104237E,[FLG2003] eps Cha 7,2MASS J12000931-7811424,,,,,,,,,
RECX 5 ,RECX-5,EK Cha,2MASS J08422710-7857479,,,,,,,,,
RECX 9,RECX-9,EN Cha,2MASS J08441637-7859080,,,,,,,,,
RECX 6,RECX-6,EL Cha,2MASS J08423879-7854427,,,,,,,,,
CVSO 104,CVSO-104,CVSO 104,Haro 5-64,2MASS J05320638-0111000,GAIA DR3 3217634157789741952,,,,,,,
CVSO 36,CVSO-36,CVSO 36,OB1a 1222,2MASS J05255035+0149370,GAIA DR3 3222268122557250304,,,,,,,
CVSO 176,CVSO-176,CVSO 176,Haro 5-91,V* V609 Ori,GAIA DR3 3219230167633274752,2MASS J05402414-0031213,,,,,,
CVSO 17,CVSO-17,CVSO 17,OB1a 121,2MASS J05230470+0137148,GAIA DR3 3222180814461726976,,,,,,,
CVSO 165,CVSO-165,CVSO 165,2MASS J05390257-0120323,GAIA DR3 3217473702105162752,,,,,,,,
V505 Ori,V505-ORI,V505 Ori,Haro 5-10,2MASS J05382725-0245097,GAIA DR3 3216107490187638784,,,,,,,
V510 Ori,V510-ORI,V510 Ori,Haro 5-27,HBC 177,2MASS J05393982-0231218,GAIA DR3 3216493758070824064,,,,,,
2mass j11432669-7804454,2mass-j11432669m7804454,2mass j11432669-7804454,2massj11432669-7804454,2massj11432669-7804454,2massj11432669m7804454,,,,,,,
rx j1608.9-3905,rxj1608m3905,rx j1608.9-3905,rxj1608.9-3905,rxj1608.9-3905,rx-j1608.9-3905,,,,,,,
SDSS J095927.53+304457.7,SDSS-J095927p304457,SDSS J095927.53+304457.7,,,,,,,,,,
J095930.22+304437.0,J095930p304437,,,,,,,,,,,
J095921.90+304518.1,J095921p304518,,,,,,,,,,,
TX Ori,V-TX-ORI,V* TX Ori,,,,,,,,,,
AV 506,AV-506,AV 506,AZV 506,AV506,[M2002]-80545|SK169|AV506,[M2002]_80545,[M2002]-80545,SK169,,,,
SK 173,SK-173,SK 173,2dFS 3747,SK173,[2DFS]-3747|[2DFS]_3747,[2DFS]-3747,[2DFS]_3747,,,,,
AV 410,AV-410,AV 410,AZV 410,AV410,AV 410|[M2002]_64588,AV 410,[M2002]_64588,,,,,
AV 235,AV-235,AV 235,SK 82,AV235,SK82|SK_82,SK82,SK_82,SK82,SK_82,,,
AV 488,AV-488,AV 488,SK 159,AV488,SK159|SK_159,SK_159,SK159,SK159,SK_159,,,
AV 175,AV-175,AV 175,AZV 175,AV175,AV 175|[M2002]_37732,AV 175,[M2002]_37732,,,,,
AV 85,AV-85,AV 85,AZV 85,AV85,OGLE005100.18-725303|OGLE_-9999,OGLE005100.18-725303.9,OGLE005100.18-725303,OGLE_-9999,,,,
AV 472,AV-472,AV 472,AZV 472,AV472,AV 472|[2DFS]_2907,AV 472,[2DFS]_2907,,,,,
AV 224,AV-224,AV 224,AZV 224,AV224,AV 224|[M2002]_45809,AV 224,[M2002]_45809,,,,,
2DFS 3694,2DFS-3694,2DFS 3694,2DFS 3694,2DFS-3694,[2DFS]-3694|[2DFS]_3694,[2DFS]-3694,[2DFS]_3694,,,,,
2DFS 3947,2DFS-3947,2DFS 3947,2DFS 3947,2DFS-3947,[SMCSGS-FS]-284|[SMCSGS-FS]_284,[SMCSGS-FS]-284,[SMCSGS-FS]_284,,,,,
2DFS 3689,2DFS-3689,2DFS 3689,2DFS 3689,2DFS-3689,[SMCSGS-FS]-96|[SMCSGS-FS]_96,[SMCSGS-FS]-96,[SMCSGS-FS]_96,,,,,
AV 96,AV-96,AV 96,AZV 96,AV96,AV 96|[M2002]_19728,AV 96,[M2002]_19728,,,,,
AV 266,AV-266,AV 266,AZV 266,AV266,AV 266|[M2002]_50609,AV 266,[M2002]_50609,,,,,
AV 264,AV-264,AV 264,AZV 264,AV264,AV264|AV_264,AV264,AV_264,,,,,
AV 393,AV-393,AV 393,SK 124,AV393,SK-124|AZV-393,SK-124,AZV-393,,,,,
AV 374,AV-374,AV 374,AZV 374,AV374,AZV374|AV_374,AZV374,AV_374,,,,,
AV 234,AV-234,AV 234,AZV 234,AV234,AV 234|[M2002]_47028,AV 234,[M2002]_47028,,,,,
AV 187,AV-187,AV 187,AZV 187,AV187,AV187|AV_187,AV187,AV_187,,,,,
AV 324,AV-324,AV 324,AZV 324,AV324,AZV324|AV_324,AZV324,AV_324,,,,,
AV 314,AV-314,AV 314,AZV 314,AV314,AZV314|AV_314,AZV314,AV_314,,,,,
AV 445,AV-445,AV 445,AZV 445,AV445,AV 445|[2DFS]_2538,AV 445,[2DFS]_2538,,,,,
AV 343,AV-343,AV 343,AZV 343,AV343,AZV343|AV_343,AZV343,AV_343,,,,,
SK 179,SK-179,SK 179,SK 179,SK179,SK 179|[M2002]_82928,SK 179,[M2002]_82928,,,,,
AV 200,AV-200,AV 200,AZV 200,AV200,AZV200|AV_200,AZV200,AV_200,,,,,
2DFS 3954,2DFS-3954,2DFS 3954,2DFS 3954,2DFS-3954,[2DFS]-3954|[2DFS]_3954,[2DFS]-3954,[2DFS]_3954,,,,,
2DFS 2266,2DFS-2266,2DFS 2266,2DFS 2266,2DFS-2266,[2DFS]-2266|[2DFS]_2266,[2DFS]-2266,[2DFS]_2266,,,,,
AV 440,AV-440,AV 440,AZV 440,AV440,AV 440|[M2002]_68756,AV 440,[M2002]_68756,,,,,
AV 251,AV-251,AV 251,AZV 251,AV251,[M2002]-48672|[M2002]_48672|AV251,[M2002]-48672,[M2002]_48672,AV251,,,,
AV 186,AV-186,AV 186,AV 186,AV186,NGC 330-013|NGC330_13,NGC 330-013,NGC330_13,CL* NGC 330 ELS 013,,,,
SK 187,SK-187,SK 187,SK 187,SK187,SK 187|[M2002]_83678,SK 187,[M2002]_83678,,,,,
AV 255,AV-255,AV 255,AV 255,AV255,AV255|AV255,AV255,AZV255,,,,,
2DFS 163,2DFS-163,2DFS 163,2DFS 163,2DFS-163,[2DFS]-163|[2DFS]_163,[2DFS]-163,[2DFS]_163,,,,,
AV 238,AV-238,AV 238,AZV 238,AV238,AV 238|[M2002]_47540,AV 238,[M2002]_47540,,,,,
2DFS 3780,2DFS-3780,2DFS 3780,2DFS 3780,2DFS-3780,[2DFS]-3780|[2DFS]_3780,[2DFS]-3780,[2DFS]_3780,,,,,
M2002 SMC 81469,M2002-SMC-81469,[M2002] SMC 81469,M2002 SMC 81469,SMC-81469,[SMCSGS-FS]-90|[SMCSGS-FS]_90,[SMCSGS-FS]-90,[SMCSGS-FS]_90,,,,,
AV 372,AV-372,AV 372,AV372,AZV 372,AV 372|[M2002]_60577,AV 372,[M2002]_60577,,,,,
2DFS 999,2DFS-999,SMC AB 9,2DFS 999,2DFS-999,SMC-WR9|SMC AB9,[M2002]_30420,SMC-WR9,SMC AB9,,,,
AV 332,AV-332,AV 332,AZV332,AZV 332,AV332,AV_332,SK 108,SMC AB6,AV332,SK108,,
SK -67 216,SK-67D216,SK -67 216,SK -67 216,SK-67D216,SK -67 216|SK_-67216,SK -67 216,SK_-67216,,,,,
HV 5622,HV-5622,HV 5622,MACHO 79.4779.34,HV5622,MACHO79-4779|MACHO79_4779,MACHO79-4779,MACHO79_4779,,,,,
SK -69 43,SK-69D43,SK -69 43,SK -69 43,SK-69D43,HD268809|HD_268809|SK-6943,HD268809,HD_268809,SK-6943,,,,
SK -68 41,SK-68D41,SK -68 41,SK -68 41,SK-68D41,SK-68 41|SK_-6841,SK-68 41,SK_-6841,,,,,
SK -68 23A,SK-68D23A,SK -68 23A,SK -68 23A,SK-68D23A,SK -68 23A|[M2002]_48819,SK -68 23A,[M2002]_48819,,,,,
SK -71 35,SK-71D35,SK -71 35,SK -71 35,SK-71D35,SK -71 35|SK_-7135,SK -71 35,SK_-7135,,,,,
SK -65 2,SK-65D2,SK -65 2,SK -65 2,SK-65D2,SK-65 2|SK_-652,SK-65 2,SK_-652,,,,,
SK -69 52,SK-69D52,SK -69 52,SK -69 52,SK-69D52,SK-69 52|SK_-6952,SK-69 52,SK_-6952,,,,,
SK -70 50,SK-70D50,SK -70 50,SK -70 50,SK-70D50,SK-70 50|SK-70 50,SK-70_50,SK-70 50,SK-70 50,,,,
SK -67 78,SK-67D78,SK -67 78,SK -67 78,SK-67D78,SK-67 78|SK-67 78,SK-67_78,SK-67 78,SK-67 78,,,,
SK -70 16,SK-70D16,SK -70 16,SK -70 16,SK-70D16,SK -70 16|[M2002]_22715,SK -70 16,[M2002]_22715,,,,,
SK -69 140,SK-69D140,SK -69 140,SK -69 140,SK-69D140,SK -69 140|[M2002]_139017,SK -69 140,[M2002]_139017,,,,,
